Bits;Y;U;V;ET
204480;34.9141;37.7275;39.0628;2.5992
19168;31.75;36.5058;37.8639;4.73341
26240;31.7216;36.4108;37.5654;6.41774
19512;31.0364;36.0666;37.2416;6.96777
86104;33.9114;37.3392;38.4781;11.5516
15800;31.7593;36.5774;37.7613;6.04579
24616;31.7138;36.1764;37.2711;6.54001
18824;31.0773;36.055;36.9855;6.42535
89336;33.5938;37.1779;38.4132;5.54362
19400;31.4128;36.3944;37.4875;4.33005
29568;31.4108;36.1133;37.0613;4.39102
20280;30.8558;35.9688;36.7681;4.4005
89488;33.9013;37.5874;38.3366;7.4194
18344;31.6245;36.5559;37.3117;4.79163
25424;31.6171;36.246;37.0503;5.51715
19152;31.0497;36.0434;36.7654;4.81799
88280;34.017;37.3927;38.3395;6.63825
16328;31.7515;36.5806;37.4328;4.96771
23400;31.6554;36.2162;37.1476;4.72631
18384;31.013;36.0183;36.7866;4.87136
90752;33.9833;37.4499;38.2803;6.73049
17672;31.5029;36.5855;37.3676;5.49984
26520;31.3948;36.4632;37.2201;4.78969
18584;30.658;36.2766;36.9651;4.49838
96224;33.6759;37.4002;38.3773;6.77624
17656;31.2899;36.5373;37.2439;5.51291
23936;31.4141;36.4644;37.0364;4.73332
18320;30.6696;36.2198;36.6386;4.75222
101360;33.5949;37.294;38.4104;7.07427
21656;30.9178;36.4184;37.3824;5.23206
29736;30.8467;36.2524;37.0043;4.7198
21432;30.2043;35.9562;36.697;5.28963
107120;33.3032;37.2089;38.3732;6.51643
18000;31.0451;36.2294;37.2693;5.10972
24888;30.7831;36.3327;37.2163;4.55729
14776;30.3855;36.2232;36.9547;4.17419
98512;33.3758;37.473;38.6608;7.14113
13344;31.2287;37.0779;37.9095;4.9547
17624;31.4157;37.021;37.7039;4.65613
13200;30.8513;36.8556;37.389;4.11986
86616;33.4596;37.6681;38.8376;9.18176
14952;31.1087;37.0768;37.6643;3.95839
22240;31.1283;36.5871;37.3975;5.8876
17392;30.6667;36.4039;37.2655;4.57245
90784;33.4592;37.5966;38.6216;6.36715
18632;30.9975;36.7504;37.8059;3.9538
25952;31.1058;36.5847;37.3903;4.66182
17856;30.5257;36.3592;37.1449;4.49155
97888;33.5874;37.4751;38.5769;10.094
16664;31.2255;36.9545;37.8062;4.6096
22256;31.4324;36.6887;37.5778;4.20052
17816;30.6844;36.5672;37.3619;4.7481
88592;33.7686;37.7465;38.688;5.83315
17280;31.4685;36.9937;37.8892;4.74482
25728;31.4524;36.8689;37.6546;4.47157
19056;30.8924;36.5923;37.385;4.67366
94216;34.2723;37.859;38.826;9.44628
15904;31.4623;37.0935;37.9704;4.18816
24832;31.7866;36.9613;37.558;5.13786
17896;31.0595;36.7927;37.2783;4.07951
90776;34.1992;37.9074;38.9209;6.60621
16128;31.5944;37.147;38.0758;4.43608
23496;31.5173;36.956;37.7191;5.3229
19672;30.7344;36.7131;37.5167;5.01694
1202;31.8424;36.7693;36.7693;-1
;;;;351.614
